X,Y,FID,Rotation,Direction,Volume,Label,Year,Neighbourh
-13733997.0051339,6177156.1667137,275,56.076437942,Right,2060,2060(89),1989,James Bay
-13733805.0168866,6177270.88775007,276,338.0395235932,Left,5310,5310(16),2016,James Bay
-13734133.7013927,6177090.48521505,277,52.8651476325,Left,2100,2100(89),1989,James Bay
-13733819.7347641,6177122.00898379,278,338.8793727491,Both,2520,2520(92),1992,James Bay
-13734335.6939581,6176688.16718185,279,53.7974189126,Right,1132,1132(05),2005,James Bay
-13734455.401578,6176628.15831597,280,54.2922418735,Left,1177,1177(05),2005,James Bay
-13734486.4709133,6176478.74425693,281,53.7974189126,Right,1273,1273(12),2012,James Bay
-13734610.4828151,6176412.91691412,282,54.2922418735,Left,1351,1351(12),2012,James Bay
-13734661.5987005,6176229.36876988,283,53.7974189126,Right,650,650(93),1993,James Bay
-13734793.6191063,6176166.36687112,284,54.2922418735,Left,640,640(93),1993,James Bay
-13734308.8582222,6176088.35376611,285,324.1263109967,Right,1140,1140(93),1993,James Bay
-13734397.7777789,6176221.27917505,286,324.5731705597,Left,750,750(93),1993,James Bay
-13735058.9553017,6176468.63241818,287,54.5565894694,Both,790,790(89),1989,James Bay
-13735039.5055564,6176685.43979314,288,324.2240225416,Both,480,480(89),1989,James Bay
-13734823.7971884,6176691.83449595,289,53.365357864,Right,472,472(11),2011,James Bay
-13734969.8265049,6176608.75178404,290,53.273365679,Left,347,347(11),2011,James Bay
-13735058.3799709,6176846.25351856,291,54.4446471064,Right,440,440(87),1987,James Bay
-13735245.242327,6176853.1627582,292,283.8610213898,Right,2741,2741(16),2016,James Bay
-13735107.4664752,6177276.46332185,293,55.2873611983,Right,2910,2910(90),1990,James Bay
-13735199.4057029,6177014.66241341,294,282.1922569487,Left,3456,3456(16),2016,James Bay
-13735256.991567,6177184.27135145,295,53.9128066209,Left,2330,2330(90),1990,James Bay
-13734978.4343143,6177313.63142657,296,324.2378869099,Left,2189,2189(11),2011,James Bay
-13734888.9597674,6177165.68494585,297,324.9232480487,Right,2165,2165(11),2011,James Bay
-13734696.7259161,6177319.84741229,298,52.7272728138,Right,2380,2380(92),1992,James Bay
-13734507.7389423,6177294.80390526,299,349.9992589845,Right,1650,1650(92),1992,James Bay
-13734649.1416462,6177378.49303004,300,350.0906504918,Left,2120,2120(92),1992,James Bay
-13734662.3090684,6177317.9548725,301,325.8379850946,Left,1170,1170(92),1992,James Bay
-13734580.3326519,6177186.80247626,302,323.7337940615,Right,1650,1650(92),1992,James Bay
-13734590.985085,6177146.2893807,303,53.883927677,Both,1960,1960(87),1987,James Bay
-13734503.0526559,6177268.52198007,304,53.883927677,Both,1880,1880(87),1987,James Bay
-13734415.1791534,6177391.19290123,305,53.883927677,Both,4520,4520(89),1989,James Bay
